,City,Country,Lat,Lon,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,Puerto del Rosario,ES,28.5,-13.86,1559612021,0,83,69.8,18.34
1,Farafangana,MG,-22.82,47.83,1559612022,96,93,66.11,2.19
2,Torbay,CA,47.66,-52.73,1559612022,75,100,55.4,20.8
3,Dingle,PH,11.0,122.67,1559611901,76,38,94.91,9.95
4,Georgetown,GY,6.8,-58.16,1559611887,20,83,80.6,11.41
5,Hay River,CA,60.82,-115.79,1559612023,75,66,48.2,3.36
6,Mar del Plata,AR,-46.43,-67.52,1559611664,99,62,51.56,18.39
7,Tabou,CI,4.42,-7.36,1559612023,100,93,73.85,3.15
8,Bredasdorp,ZA,-34.53,20.04,1559612023,100,82,55.4,6.93
9,Airai,TL,-8.93,125.41,1559612023,97,53,86.27,4.97
10,Puerto Ayora,EC,-0.74,-90.35,1559612023,75,69,78.8,16.11
11,Henties Bay,NA,-22.12,14.28,1559612023,0,66,61.43,6.29
12,Kavaratti,IN,10.57,72.64,1559612024,100,72,84.65,2.64
13,La Romana,DO,18.43,-68.97,1559612024,40,100,80.6,5.01
14,San Quintin,PH,17.54,120.52,1559612024,15,55,93.47,8.23
15,Moron,VE,10.49,-68.2,1559612024,73,86,77.81,1.16
16,Hobart,AU,-42.88,147.33,1559611606,75,61,52.0,10.29
17,Portland,US,45.52,-122.67,1559611918,20,35,73.99,6.93
18,Luwuk,ID,-0.95,122.79,1559612024,100,99,65.93,4.03
19,Rikitea,PF,-23.12,-134.97,1559611658,32,79,74.96,19.46
20,Kodiak,US,39.95,-94.76,1559612025,1,37,78.8,10.29
21,Havre-Saint-Pierre,CA,50.23,-63.6,1559612025,90,100,46.4,14.99
22,Kachiry,KZ,53.07,76.1,1559612025,1,56,62.33,6.53
23,Stony Plain,CA,53.53,-114.0,1559612025,20,55,63.0,16.11
24,Mataura,NZ,-46.19,168.86,1559611685,86,71,44.9,7.14
25,New Norfolk,AU,-42.78,147.06,1559612025,75,53,53.01,10.29
26,Port Alfred,ZA,-33.59,26.89,1559611668,35,54,68.0,5.99
27,Zhuanghe,CN,39.7,122.97,1559612026,2,53,75.0,1.99
28,Xuddur,SO,4.12,43.89,1559612026,60,70,72.59,14.47
29,Salalah,OM,17.01,54.1,1559612026,40,79,86.0,10.29
30,Huarmey,PE,-10.07,-78.15,1559612026,39,94,62.51,12.8
31,Priupskiy,RU,53.91,37.74,1559612026,0,74,50.99,6.46
32,Tiksi,RU,71.64,128.87,1559611691,19,83,33.56,13.94
33,Kruisfontein,ZA,-34.0,24.73,1559612027,74,46,58.01,5.88
34,Hermanus,ZA,-34.42,19.24,1559612027,47,88,60.01,5.99
35,Deputatskiy,RU,69.3,139.9,1559612027,0,45,44.87,17.83
36,Ushuaia,AR,-54.81,-68.31,1559611655,0,75,41.0,6.93
37,Itarema,BR,-2.92,-39.92,1559612027,100,93,75.65,4.74
38,Lianran,CN,24.92,102.47,1559612027,40,72,75.99,11.18
39,Kavieng,PG,-2.57,150.8,1559612027,100,73,84.47,10.74
40,Busselton,AU,-33.64,115.35,1559612028,0,40,57.99,23.8
41,Saint-Philippe,CA,45.36,-73.48,1559612028,90,76,52.0,13.87
42,Yulara,AU,-25.24,130.99,1559612028,0,50,53.6,18.34
43,Rafai,CF,4.95,23.92,1559612028,100,92,69.35,1.9
44,Albany,US,42.65,-73.75,1559611929,20,64,55.4,11.41
45,Cidreira,BR,-30.17,-50.22,1559611641,0,72,60.02,4.45
46,Altay,CN,47.83,88.13,1559612029,7,43,57.65,6.15
47,Arraial do Cabo,BR,-22.97,-42.02,1559611864,93,73,72.41,4.09
48,Punta Arenas,CL,-53.16,-70.91,1559611625,0,93,41.0,2.24
49,Kieta,PG,-6.22,155.63,1559611459,54,73,84.5,8.86
50,Yellowknife,CA,62.45,-114.38,1559611635,90,100,39.2,9.17
51,Luebo,CD,-5.35,21.42,1559612029,100,48,64.85,3.15
52,Albanel,CA,48.88,-72.44,1559611830,90,87,48.0,12.75
53,Fairbanks,US,64.84,-147.72,1559611804,20,24,68.0,11.41
54,Harper,US,30.3,-99.24,1559611631,1,65,84.2,8.05
55,Pandan,PH,11.72,122.09,1559612029,76,74,86.81,15.1
56,Hilo,US,19.71,-155.08,1559611874,75,65,80.6,14.99
57,Maceio,BR,-9.67,-35.74,1559612030,0,88,71.6,5.82
58,Kaitangata,NZ,-46.28,169.85,1559611700,38,59,46.0,15.01
59,Constantine,DZ,36.36,6.61,1559612030,0,82,59.0,2.24
